INCIDENT_CAUSE,CLAIM_STATUS,ODOMETER_AT_LOSS,LOSS_EVENT_TIME,CLAIM_INIT_TIME,POLICE_REPORT,CLAIMS_AT_LOSS_DATE,LOSS_LOCATION_LAT,LOSS_LOCATION_LONG,CLAIM_AMOUNT,FLAG_FOR_FRAUD_INV,START_DATE,EXPIRY_DATE,MODEL_YEAR,MAKE,MODEL,INITIAL_ODOMETER,LOW_MILEAGE_USE,COMMUTE_DISCOUNT,EXCESSIVE_CLAIM_AMOUNT
3,1,157654.9,2017-04-25,4/28/17,1,1,41.90210313,-87.75562353,35765,1,9/19/16,9/19/17,2010,Nissan,Sentra,144972,0,0,1
3,3,226154.5,2018-08-26,8/31/18,0,1,41.96356191,-87.73139688,1909,0,6/14/17,6/14/18,2008,Dodge,Ram,212580,0,0,0
1,1,83968.6,2016-01-07,1/11/16,0,2,41.73660156,-87.6049681,25730,1,8/24/15,8/23/16,2009,Chevrolet,Equinox,77994,1,0,1
1,1,309570.3,2016-12-11,12/18/16,0,1,41.90992525,-87.73155722,40880,1,7/25/15,7/24/16,2002,Chevrolet,Equinox,296352,0,0,1
3,3,136633.9,2017-06-06,6/8/17,0,1,41.9237502,-87.78988086,2130,0,1/8/16,1/7/17,2010,Honda,CR-V,134244,0,0,0
1,3,326514.1,2018-03-06,3/19/18,0,1,41.90925707,-87.78505659,1970,0,1/15/17,1/15/18,2004,Ford,F-150,316848,0,0,0
2,3,58477.9,2017-08-13,8/18/17,0,1,41.92839511,-87.7964676,2290,0,7/8/16,7/8/17,2012,Chevrolet,Impala,53232,1,0,0
1,3,176476.9,2017-02-10,2/18/17,0,1,41.88571554,-87.72837561,2990,0,8/11/16,8/11/17,2010,Kia,Sportage,165900,0,0,0
3,3,277812.7,2018-02-16,2/24/18,0,1,41.89505399,-87.74566176,1170,0,10/13/17,10/13/18,2006,Nissan,Sentra,268104,0,0,0
5,3,190541.3,2016-12-28,1/11/17,0,1,41.89197561,-87.61458027,2090,0,6/23/15,6/22/16,2008,Kia,Sportage,178656,0,0,0
1,3,290975.1,2017-08-12,8/25/17,0,1,41.91122338,-87.63865603,2130,0,4/14/16,4/14/17,2005,Kia,Optima,280368,0,0,0
3,1,159873.2,2018-07-30,7/30/18,1,5,41.73583545,-87.66786637,33040,1,2/22/17,2/22/18,2010,Hyundai,Sonata,157344,0,0,1
1,3,391866.9,2018-02-22,2/26/18,0,1,41.73416431,-87.55121062,2400,0,1/10/17,1/10/18,1998,Dodge,Durango,385536,0,0,0
3,1,384000.6,2017-02-06,2/6/17,0,3,41.79185207,-87.8013778,21330,1,6/4/16,6/4/17,2000,Toyota,Corolla,370668,0,0,1
